Name,Website,Location,Tuition,Acceptance Rate,Student-Faculty Ratio,Description
Canisius University,https://www.collegexpress.com/college/canisius-university/1100989/details/,"Buffalo, NY","$28,630",76%,11:1,"Founded in 1870 by German Jesuits and named for St. Peter Canisius, Canisius University is the largest private university in Western New York. Its 72-acre campus is located in a residential neighborhood of North-Central Buffalo."
Cayuga Community College,https://www.collegexpress.com/college/cayuga-community-college/3300979/details/,"Auburn, NY","$4,992",,,"Cayuga Community College, founded in 1953, is a public two-year institution. Its 50-acre campus is located in Auburn, NY."
Charles Stuart School of Locksmithing,https://www.collegexpress.com/college/charles-stuart-school-of-locksmithing/3205176/details/,"Brooklyn, NY",,,,"Charles Stuart School of Locksmithing, founded in 1988, is a private two-year technical institution. Its campus is located in Brooklyn, NY."
Cheryl Fells School of Business,https://www.collegexpress.com/college/cheryl-fells-school-of-business/3101022/details/,"Niagara Falls, NY",,,,"Cheryl Fells School of Business is a private two-year technical institution. Its campus is located in Niagara Falls, NY."
Clarkson University,https://www.collegexpress.com/college/clarkson-university/1100295/details/,"Potsdam, NY","$51,454",77%,14:1,"Clarkson University is a private research university founded in 1896. Its 640-acre main campus is located in Potsdam, NY, with additional graduate programs and research facilities at its Capital Region Campus in Schenectady, NY, and its Beacon Institute for Rivers and Estuaries in Beacon, NY."
"Clinton Community College, SUNY",https://www.collegexpress.com/college/clinton-community-college-suny/3300980/details/,"Plattsburgh, NY","$5,518",,18:1,"Founded in 1969, Clinton Community College is a public two-year institution. Its 100-acre campus is located in Plattsburgh, NY."
Colgate University,https://www.collegexpress.com/college/colgate-university/1100298/details/,"Hamilton, NY","$59,655",27%,9:1,"Colgate University, founded in 1819, is a highly selective residential liberal arts institution. Its 550-acre campus is located in Hamilton, NY."
College of Mount St. Vincent,https://www.collegexpress.com/college/college-of-mount-st-vincent/1100328/details/,"Bronx, NY","$39,500",92%,13:1,"The College of Mount Saint Vincent is a co-educational, private, four-year college that provides an excellent liberal arts education in the Catholic tradition. Its 70-acre campus is located in the Riverdale section of the Bronx in New York City."
Columbia University,https://www.collegexpress.com/college/columbia-university/3000453/details/,"New York, NY","$58,920",6%,6:1,"Founded in 1754, Columbia University is a private coeducational institution. Its 36-acre campus is located in New York City."
Columbia–Greene Community College,https://www.collegexpress.com/college/columbia-greene-community-college/3300981/details/,"Hudson, NY","$4,968",,,"Columbia-Greene Community College, founded in 1966, is a public two-year institution. Its 144-acre campus is located in Hudson, NY."
Commercial Driver Training,https://www.collegexpress.com/college/commercial-driver-training/3101023/details/,"West Babylon, NY",,,,"Commercial Driver Training, founded in 1961, is a private vocational school specializing in driver training for tractor trailers, trucks, and buses. Its two-acre campus is located in West Babylon, NY."
Cope Education for Business,https://www.collegexpress.com/college/cope-education-for-business/3101024/details/,"Brooklyn, NY",,,,"Cope Institute, founded in 1977, is a private, coeducational, technical/professional institution. Its campus is located in Brooklyn."
Cornell University,https://www.collegexpress.com/college/cornell-university/1100516/details/,"Ithaca, NY","$58,586",10%,9:1,"Cornell University, founded in 1865, is a private, not-for-profit, co-educational, nonsectarian institution of higher learning chartered and operated under Laws of the State of New York. Although a private institution, Cornell is also the land-grant institution for New York State. Its 745-acre campus is located in Ithaca, 52 miles from Syracuse."
Cornell University Precollege Studies,https://www.collegexpress.com/college/cornell-university-precollege-studies/4001695/details/,"Ithaca, NY",,,,"The mission of Cornell University Precollege Studies is to present the broadest possible range of high-quality learning opportunities to Cornell's many constituencies. The SCE draws on the resources of all of Cornell's academic units, identifying needs and developing programs that most appropriately and effectively deploy Cornell's vast and varied educational resources. Cornell faculty members are joined by leaders in industry, government, and the professions, along with distinguished scholars from other institutions, to present these programs throughout the year."
D'Youville College,https://www.collegexpress.com/college/dyouville-college/1100691/details/,"Buffalo, NY","$27,986",83%,10:1,"D'Youville College is a private college. Founded as a women's college in 1908, it adopted coeducation in 1971. Its 17-acre campus is located less than a mile from the center of downtown Buffalo."
Daemen University,https://www.collegexpress.com/college/daemen-university/2100314/details/,"Amherst, NY","$29,700",61%,12:1,"Daemen University, founded in 1947, is a small, private, comprehensive institution with a mixture of liberal arts and career programs. Daemen offers bachelor's, master's, and clinical doctorate degrees as well as a post-secondary certificate and post-baccalaureate and post-master's certificates. Its 35-acre campus is located in Amherst, New York—a suburb of Buffalo"
Davis College,https://www.collegexpress.com/college/davis-college/3000278/details/,"Johnson City, NY","$15,750",28%,,"Davis College (formerly Practical Bible College), founded in 1900, is a private, faith-based, specialized school. Its 22-acre campus is located in Johnson City, NY, five miles from Binghamton and 70 miles from Syracuse."
"Dominican University, New York",https://www.collegexpress.com/college/dominican-university-new-york/1100623/details/,"Orangeburg, NY","$29,860",74%,15:1,"Founded in 1952, Dominican University in New York is a private non-affiliated liberal arts college offering undergraduate and graduate programs. Its 70-acre campus is located in Rockland County, 17 miles north of New York City."
Downstate Health Sciences University,https://www.collegexpress.com/college/downstate-health-sciences-university/3000064/details/,"Brooklyn, NY",,,,"SUNY Downstate Health Sciences University at Brooklyn, founded in 1858, is a public, upper-division institution. Its 13-acre campus is located in Brooklyn."
Dutchess Community College,https://www.collegexpress.com/college/dutchess-community-college/3300984/details/,"Poughkeepsie, NY","$4,350",,,"Dutchess Community College, founded in 1957, is a public two-year institution. Its campus is located in Poughkeepsie, NY."
Dutchess Community College South,https://www.collegexpress.com/college/dutchess-community-college-south/3302591/details/,"Wappingers Falls, NY","$4,620",,,"Dutchess Community College South is a public two-year institution. Its campus is located in Wappingers Falls, NY."
Eastman School of Music,https://www.collegexpress.com/college/eastman-school-of-music/4001723/details/,"Rochester, NY","$53,340",,,"Eastman School of Music, founded in 1921, is a private music conservatory within the University of Rochester. Its campus is located in Rochester, NY."
Elmira Business Institute,https://www.collegexpress.com/college/elmira-business-institute/3101030/details/,"Elmira, NY","$21,850",,,"Elmira Business Institute, founded in 1858, is a private, coeducational, two-year institution. Its campus is located in Elmira, New York."
Elmira College,https://www.collegexpress.com/college/elmira-college/2100318/details/,"Elmira, NY","$34,578",83%,,"Elmira College, steeped in tradition, is a private, residential, co-educational liberal arts college that emphasizes both general and professional education.  Founded as a women's college in 1855, it adopted coeducation in 1969. Its 55-acre campus is located in a residential area of Elmira, NY."
Empire Beauty School (New York),https://www.collegexpress.com/college/empire-beauty-school-new-york/5000981/details/,"Brooklyn, NY",,,,Empire Beauty Schools offer cosmetology programs at 96 locations across 20 states. Other programs such as nail technology and esthetics are available at select locations.
Erie Community College—City Campus,https://www.collegexpress.com/college/erie-community-college-city-campus/3300958/details/,"Buffalo, NY","$5,047",,15:1,"Founded in 1971, Erie Community College—City Campus is a public two-year liberal arts college. Its campus is located in Buffalo, New York."
Erie Community College—North Campus,https://www.collegexpress.com/college/erie-community-college-north-campus/3300956/details/,"Williamsville, NY","$4,900",74%,16:1,"Founded in 1946, Erie Community College—North Campus is a public two-year liberal arts college. Its 120-acre campus is located in Williamsville, New York."
Erie Community College—South Campus,https://www.collegexpress.com/college/erie-community-college-south-campus/3300957/details/,"Orchard Park, NY","$4,900",84%,13:1,"Founded in 1974, Erie Community College—South Campus is a public two-year institution. Its campus is located in Orchard Park, NY."
Eugene Lang College of Liberal Arts at The New School,https://www.collegexpress.com/college/eugene-lang-college-of-liberal-arts-at-the-new-school/1100772/details/,"New York, NY","$50,406",69%,11:1,"Founded in 1985, Eugene Lang College of Liberal Arts at The New School is a private coeducational institution. Its five-acre, urban campus is located in the Greenwich Village area of New York City"
Excelsior College,https://www.collegexpress.com/college/excelsior-college/3000168/details/,"Albany, NY",,,,"Founded in 1971, Excelsior College provides innovative and rigorous distance learning academic programs to adult learners. Accredited by Middle States, Excelsior offers 58 undergraduate and 3 graduate degree. Excelsior serves over 30,000 enrolled students in both its assessment and instruction based programs."
Farmingdale State College,https://www.collegexpress.com/college/farmingdale-state-college/1101080/details/,"Farmingdale, NY","$7,070",60%,19:1,"Farmingdale State College, founded in 1912, is a public college of technology and applied sciences. Its 380-acre campus is located in Farmingdale on Long Island, 35 miles from New York City."
Fashion Institute of Technology,https://www.collegexpress.com/college/fashion-institute-of-technology/1100515/details/,"New York, NY","$5,290",58%,16:1,"The Fashion Institute of Technology, founded in 1944, is a school of art and design and business and technology. It is a public institution, receiving its principal financial support from the State and City of New York. Its five-acre campus is located in midtown Manhattan, near the center of New York's fashion industry."
Finger Lakes Community College,https://www.collegexpress.com/college/finger-lakes-community-college/3300982/details/,"Canandaigua, NY","$4,864",,,"Finger Lakes Community College, founded in 1965, is a public, coeducational, two-year institution. Its campus is located in Canandaigua, NY."
Five Towns College,https://www.collegexpress.com/college/five-towns-college/3000000/details/,"Dix Hills, NY","$24,900",47%,,"Five Town College, founded in 1972, is a private coeducational institution. Its 35-acre campus is located in Dix Hills, 25 miles from New York City."
Fordham University,https://www.collegexpress.com/college/fordham-university/1100929/details/,"Bronx, NY","$54,730",52%,15:1,"Fordham University is the Jesuit University of New York.  Founded in 1841, our  85-acre Rose Hill campus is located in the Bronx, adjacent to the Botanical Gardens and Bronx Zoo. Our eight-acre Lincoln Center campus is located in Manhattan, right next to the Lincoln Center arts complex."
Fulton–Montgomery Community College,https://www.collegexpress.com/college/fulton-montgomery-community-college/3300959/details/,"Johnstown, NY","$5,040",,,"Founded in 1963, Fulton-Montgomery Community College,  is a public two-year coeducational institution. Its campus is located in Johnstown, NY."
Gemological Institute of America New York,https://www.collegexpress.com/college/gemological-institute-of-america-new-york/3101034/details/,"New York, NY",,,,"Gemological Institute of America, founded in 1931, is a private two-year professional institution. Its campus is located in New York, NY."
Genesee Community College,https://www.collegexpress.com/college/genesee-community-college/3300986/details/,"Batavia, NY","$4,550",,,"Genesee Community College, founded in 1966, is a public, two-year, liberal arts institution. Its 250-acre campus is located in Batavia, NY."
Guttman Community College,https://www.collegexpress.com/college/guttman-community-college/200000060/details/,"New York, NY","$4,800",,15:1,Guttman Community College is a public liberal arts community college in New York City. It's the newest of the City University of New York (CUNY) school system community colleges and was founded in September of 2012.
Hamilton College,https://www.collegexpress.com/college/hamilton-college/2100323/details/,"Clinton, NY","$57,930",18%,9:1,"Hamilton College is a private, liberal arts college. Founded in 1812, it adopted coeducation in 1978. Its 1,300-acre campus is located in Clinton, nine miles from Utica."
Harlem School of Technology,https://www.collegexpress.com/college/harlem-school-of-technology/3303571/details/,"New York, NY",,,,"Harlem School of Technology is a private, two-year technical institution. Its campus is located in New York, NY."
Hartwick College,https://www.collegexpress.com/college/hartwick-college/1100524/details/,"Oneonta, NY","$47,370",93%,10:1,"Hartwick College, founded in 1797, is a private liberal arts and sciences college. The 425-acre campus is located in Oneonta, New York."
Helene Fuld College of Nursing,https://www.collegexpress.com/college/helene-fuld-college-of-nursing/3302594/details/,"New York, NY",,,,"Helen Fuld College of Nursing, founded in 1945, is a private, specialized institution. Its campus is located in New York."
Herkimer County Community College,https://www.collegexpress.com/college/herkimer-county-community-college/3300987/details/,"Herkimer, NY","$5,016",,,"Herkimer County Community College, founded in 1967, is a public two-year institution. Its 500-acre campus is located in Herkimer, NY."
Hilbert College,https://www.collegexpress.com/college/hilbert-college/3000088/details/,"Hamburg, NY","$23,495",91%,12:1,"Hilbert College is a private, Catholic, Franciscan college. Founded in 1957, it adopted coeducation in 1969. Its 49-acre campus is located in the town of Hamburg, 10 miles from Buffalo."
Hobart and William Smith Colleges,https://www.collegexpress.com/college/hobart-and-william-smith-colleges/2100326/details/,"Geneva, NY","$57,400",61%,10:1,"Hobart College, founded in 1822, is a private liberal arts college for men. Coordinate college, William Smith, founded in 1908, is a private liberal arts college for women. Its 200-acre combined campus is located in Geneva."
Hofstra University,https://www.collegexpress.com/college/hofstra-university/2100327/details/,"Hempstead, NY","$48,315",69%,13:1,"Hofstra University, founded in 1935, is a private university. Its 240-acre campus is located in Hempstead, 25 miles east of New York City."
Hostos Community College,https://www.collegexpress.com/college/hostos-community-college/3301622/details/,"Bronx, NY","$4,800",,,"Hostos Community College, founded in 1968, is a public, specialized, coeducational institution. Its campus is located in Bronx, NY."
Houghton University,https://www.collegexpress.com/college/houghton-university/2100351/details/,"Houghton, NY","$33,920",79%,12:1,"Founded in 1883, Houghton University is a private coeducational Christian institution of the liberal arts and sciences. Its 1,300-acre campus is located in Houghton, NY, 60 miles from Buffalo and 70 miles from Rochester."
Hudson Valley Community College,https://www.collegexpress.com/college/hudson-valley-community-college/3300988/details/,"Troy, NY","$4,800",,19:1,"Hudson Valley Community College, founded in 1953, is a public two-year institution. Its 154-acre campus is located in Troy, NY."
Hunter Business School,https://www.collegexpress.com/college/hunter-business-school/3101037/details/,"Levittown, NY",,,,"Hunter Business School is a private, two-year, professional institution. Its campus is located in Levittown, NY."
"Hunter College, CUNY",https://www.collegexpress.com/college/hunter-college-cuny/1100566/details/,"New York, NY","$6,930",40%,14:1,"Founded in 1870, Hunter College is a public institution and part of the City University of New York system. Its three-block campus is located in New York City."
Iona University,https://www.collegexpress.com/college/iona-university/2100348/details/,"New Rochelle, NY","$39,380",85%,16:1,"Iona University is a coeducational Roman Catholic liberal arts institution founded in 1940 in the tradition of the Christian Brothers. Programs are offered through the Schools of Arts and Sciences and Business. Its 45-acre campus is located in New Rochelle on Long Island Sound, 16 miles from New York City."
Island Drafting & Technical Institute,https://www.collegexpress.com/college/island-drafting-technical-institute/3101040/details/,"Amityville, NY","$16,500",,,"Island Drafting and Technical Institute, founded in 1957, is a private, technical institute specializing in computer aided drafting/design technology. Its campus is located in Amityville, New York."
Ithaca College,https://www.collegexpress.com/college/ithaca-college/1100770/details/,"Ithaca, NY","$46,610",75%,10:1,"Founded in 1892, Ithaca College is a private liberal arts college with programs offered through the Schools of Business, Communications, Health Sciences & Human Performance, Humanities & Sciences, and Music. Its 670-contiguous-acre campus is located in Ithaca, New York—50 miles south of Syracuse."
Jamestown Business College,https://www.collegexpress.com/college/jamestown-business-college/3101041/details/,"Jamestown, NY","$11,700",97%,,"Jamestown Business College, founded in 1886, is a private two-year institution. Its campus is located in Jamestown, NY."
Jamestown Community College,https://www.collegexpress.com/college/jamestown-community-college/3300989/details/,"Jamestown, NY","$4,870",99%,17:1,"Founded in 1950, Jamestown Community College is a public, two-year college. The main campus is located on a 107-acre site at the foot of Chautauqua Lake in Jamestown, NY. JCC has a branch campus in Olean, NY and extension centers in Dunkirk, NY and Warren, PA. Jamestown Community College is part of the State University of New York (SUNY) system."
Jamestown Community College—Cattaraugus County Campus,https://www.collegexpress.com/college/jamestown-community-college-cattaraugus-county-campus/3300960/details/,"Olean, NY","$5,200",,17:1,"Founded in 1950, Jamestown Community College,  is a public two-year college. The main campus is located on a 107-acre site at the foot of Chautauqua Lake in Jamestown, New York. JCC has a branch campus in Olean and extension centers in Dunkirk and Warren, Pennsylvania. Jamestown Community College is part of the State University of New York (SUNY) system."
Jamestown Community College—North County Center,https://www.collegexpress.com/college/jamestown-community-college-north-county-center/3302146/details/,"Dunkirk, NY","$4,870",,16:1,"Founded in 1950, Jamestown Community College is a public two-year college. The main campus is located on a 107-acre site at the foot of Chautauqua Lake in Jamestown, New York. JCC has a branch campus in Olean and extension centers in Dunkirk and Warren, Pennsylvania. Jamestown Community College is part of the State University of New York (SUNY) system."
Jefferson Community College,https://www.collegexpress.com/college/jefferson-community-college/3300990/details/,"Watertown, NY","$5,016",,18:1,"Jefferson Community College, part of the SUNY college system, founded in 1962, is a public, coeducational, two-year institution. Its campus is located in Watertown, NY."
Jewish Theological Seminary of America,https://www.collegexpress.com/college/jewish-theological-seminary-of-america/3000167/details/,"New York, NY","$56,128",58%,,"The Jewish Theological Seminary, founded in 1886, is a private, coeducational Conservative Judaistic college. Its campus is located in New York City."
Joffrey Ballet School,https://www.collegexpress.com/college/joffrey-ballet-school/3302605/details/,"New York, NY","$20,900",41%,,"American Ballet Center/Joffrey Ballet School, founded in 1952, is a private, specialized, coeducational institution. Its campus is located in New York."
John Jay College of Criminal Justice,https://www.collegexpress.com/college/john-jay-college-of-criminal-justice/2100310/details/,"New York, NY","$6,930",37%,,"John Jay College of Criminal Justice is a public institution of liberal arts and criminal justice and a senior member of the City University of New York school system. Founded in 1964, it grew out of a program of higher education for New York City police officers. Its campus is located in the Lincoln Center area of Manhattan."
Juilliard School,https://www.collegexpress.com/college/juilliard-school/1100766/details/,"New York, NY","$49,260",7%,4:1,"The Juilliard School, founded in 1905, is a private conservatory of the performing arts. Its campus is located at Lincoln Center in New York City."
Keuka College,https://www.collegexpress.com/college/keuka-college/1100777/details/,"Keuka Park, NY","$32,700",90%,8:1,"Keuka College, founded in 1890, is a private, liberal arts institution. Its 288-acre campus is located in  Keuka Park, 50 miles from Rochester."
Kingsborough Community College,https://www.collegexpress.com/college/kingsborough-community-college/3300975/details/,"Brooklyn, NY","$4,800",,,"Kingsborough Community College, founded in 1963, is a public, coeducational institution. Its campus is located in Brooklyn, New York."
LaGuardia Community College,https://www.collegexpress.com/college/laguardia-community-college/3301624/details/,"Long Island City, NY","$4,800",,,"LaGuardia Community College, founded in 1971, is a public, two-year, liberal arts institution. Its 6-acre campus is located in Long Island City, NY."
Le Moyne College,https://www.collegexpress.com/college/le-moyne-college/2100337/details/,"Syracuse, NY","$34,910",74%,13:1,"Le Moyne College, founded in 1946, is a liberal arts college in the Catholic, Jesuit tradition. Its 161-acre campus is located in a residential area, minutes from downtown Syracuse."
"Lehman College, CUNY",https://www.collegexpress.com/college/lehman-college-cuny/1100932/details/,"Bronx, NY","$6,930",47%,18:1,"Founded in 1931, Lehman College is a public liberal arts institution that was initially a branch campus of Hunter College; it became a separate CUNY college in 1968. Its 37-acre campus is located in the Bronx."
LIM College,https://www.collegexpress.com/college/lim-college/1100316/details/,"New York, NY","$27,936",84%,16:1,"LIM College, founded in 1939, is a private, fashion and business centered institution. Its facilities are located in Midown Manhattan."
Long Island Business Institute,https://www.collegexpress.com/college/long-island-business-institute/3101046/details/,"Commack, NY","$8,866",81%,,"Long Island Business Institute, founded in 1968, is a private two-year institution. Its 1-acre campus is located in Commack, NY."
Long Island University—Brooklyn Campus,https://www.collegexpress.com/college/long-island-university-brooklyn-campus/2800139/details/,"Brooklyn, NY","$36,452",84%,13:1,"Founded in 1926, Long Island University in Brooklyn is a private institution. Its 11-acre campus is located in downtown Brooklyn, NY."
Long Island University—C.W. Post Campus,https://www.collegexpress.com/college/long-island-university-cw-post-campus/2100349/details/,"Brookville, NY","$37,182",85%,14:1,"Founded in 1954, Long Island University C.W. Post Campus is a private institution. Its 322-acre campus is located in Brookville, 45 minutes from Manhattan."
Mandl School,https://www.collegexpress.com/college/mandl-school/3101048/details/,"New York, NY","$14,500",,,"Mandl School, founded in 1924, is a private, two-year, technical institution. Its campus is located in New York, NY."
Manhattan College,https://www.collegexpress.com/college/manhattan-college/1100201/details/,"Riverdale, NY","$41,600",77%,13:1,"Manhattan College, established in 1853, is a private, four-year, coeducational, Lasallian Catholic institution of higher learning. Its 22-acre campus is located in the Riverdale section of the Bronx in New York City."
Manhattan School of Computer Technology,https://www.collegexpress.com/college/manhattan-school-of-computer-technology/3100997/details/,"Brooklyn, NY",,,,"Manhattan School of Computer Technology is a private two-year institution. Its campus is located in New York, NY."
Manhattan School of Music,https://www.collegexpress.com/college/manhattan-school-of-music/1100204/details/,"New York, NY","$48,280",41%,3:1,"The Manhattan School of Music, founded in 1917, is a private institution. Its facilities are located in the Morningside Heights section of Manhattan."
Manhattanville University,https://www.collegexpress.com/college/manhattanville-university/1100206/details/,"Purchase, NY","$38,880",89%,11:1,"Founded 1841, Manhattanville University is a private coeducational liberal arts institution with a mission to educate students to be ethical and socially-responsible leaders in a global community. Its 100-acre campus is located in Purchase, New York—approximately 25 miles from New York City."
Maria College of Albany,https://www.collegexpress.com/college/maria-college-of-albany/3301628/details/,"Albany, NY","$15,150",35%,,"Maria College of Albany, founded in 1958, is a private two-year institution. Its campus is located in Albany, NY."
Marist College,https://www.collegexpress.com/college/marist-college/1100220/details/,"Poughkeepsie, NY","$41,800",55%,16:1,"Marist College, founded in 1929, is a private, independent, comprehensive institution grounded in the liberal arts, located on a 210-acre campus in New York's Hudson River Valley, with a branch campus abroad in Florence, Italy."
Martha Graham School Contemporary Dance,https://www.collegexpress.com/college/martha-graham-school-contemporary-dance/3302615/details/,"New York, NY",,,,"Martha Graham School of Contemporary Dance, founded in 1926, is a private, two-year, dance institution. Its campus is located in New York, NY."
Marymount Manhattan College,https://www.collegexpress.com/college/marymount-manhattan-college/1100229/details/,"New York, NY","$35,680",88%,9:1,"Marymount Manhattan College, founded in 1936, is a private, liberal arts college. Founded as a branch of Marymount College of Tarrytown, NY, it became an independent institution in 1961. Its one-acre campus is located in midtown Manhattan."
"Medgar Evers College, CUNY",https://www.collegexpress.com/college/medgar-evers-college-cuny/2100357/details/,"Brooklyn, NY","$6,930",78%,14:1,"Founded in 1970, Medgar Evers College is a public liberal arts institution. Its a seven-acre campus located in the Central Brooklyn area."
Mercy University,https://www.collegexpress.com/college/mercy-university/1100259/details/,"Dobbs Ferry, NY","$22,106",85%,15:1,"Since 1950, Mercy University has been on a mission, bringing education to students in new ways, and making it our business to empower generations of learners. We help students break new ground, achieve forward momentum and create lasting impact that ripples beyond themselves, to their families and communities."
Metropolitan College of New York,https://www.collegexpress.com/college/metropolitan-college-of-new-york/3000062/details/,"New York, NY","$19,338",40%,11:1,"Founded in 1964, Metropolitan College of New York is a private non-profit college offering business, education, human services, urban studies, and public affairs programs. Its campus is located in Manhattan."
Mildred Elley (New York),https://www.collegexpress.com/college/mildred-elley-new-york/3303516/details/,"Albany, NY","$12,144",,,"Mildred Elley is a private, coeducational institution. Its campus is located in Albany, New York."
Modern Welding School,https://www.collegexpress.com/college/modern-welding-school/3101050/details/,"Schenectady, NY",,,,"Modern Welding School, founded in 1936, is a private, two-year, technical institution. Its 1-acre campus is located in Schenectady, NY."
Mohawk Valley Community College,https://www.collegexpress.com/college/mohawk-valley-community-college/3300991/details/,"Utica, NY","$4,594",,18:1,"Mohawk Valley Community College, founded in 1946, is New York State's oldest community college.  MVCC is one of 30 public community colleges in the State University of New York system.  The main 80-acre campus is located in Utica; a branch campus is located in nearby Rome, NY."
Molloy University,https://www.collegexpress.com/college/molloy-university/1100299/details/,"Rockville Centre, NY","$31,330",74%,10:1,"Molloy University, founded in 1955, is a private, church-affiliated, liberal arts college. Its 30-acre campus is located in Rockville Centre, 25 miles east of New York City."
Monroe College — New Rochelle Campus,https://www.collegexpress.com/college/monroe-college-new-rochelle-campus/5008905/details/,"New Rochelle, NY","$14,760",,,"Monroe College -- New Rochelle Campus is a public, coeducational institution. Its campus is located in New Rochelle, New York."
